PurchaseOrderLineID,PurchaseOrderID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,LastEditedBy,LastEditedWhen
1,1,150,18,Pack of 12 action figures (variety),18,9,5.5,41276,TRUE,6,41276.29167
2,1,151,21,Pack of 12 action figures (male),21,9,5.5,41276,TRUE,6,41276.29167
3,1,152,18,Pack of 12 action figures (female),18,9,5.5,41276,TRUE,6,41276.29167
4,2,76,8,"""The Gu"" red shirt XML tag t-shirt (White) 3XS",8,6,84,41276,TRUE,6,41276.29167
5,2,77,1,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1,6,84,41276,TRUE,6,41276.29167
6,2,78,1,"""The Gu"" red shirt XML tag t-shirt (White) XS",1,6,84,41276,TRUE,6,41276.29167
7,2,80,2,"""The Gu"" red shirt XML tag t-shirt (White) M",2,6,84,41276,TRUE,6,41276.29167
8,2,81,7,"""The Gu"" red shirt XML tag t-shirt (White) L",7,6,84,41276,TRUE,6,41276.29167
9,2,84,3,"""The Gu"" red shirt XML tag t-shirt (White) 3XL",3,6,96,41276,TRUE,6,41276.29167
10,2,85,5,"""The Gu"" red shirt XML tag t-shirt (White) 4XL",5,6,96,41276,TRUE,6,41276.29167
11,2,86,1,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",1,6,96,41276,TRUE,6,41276.29167
12,2,88,9,"""The Gu"" red shirt XML tag t-shirt (White) 7XL",9,6,102,41276,TRUE,6,41276.29167
13,2,89,6,"""The Gu"" red shirt XML tag t-shirt (Black) 3XS",6,6,84,41276,TRUE,6,41276.29167
14,2,92,6,"""The Gu"" red shirt XML tag t-shirt (Black) S",6,6,84,41276,TRUE,6,41276.29167
15,2,94,9,"""The Gu"" red shirt XML tag t-shirt (Black) L",9,6,84,41276,TRUE,6,41276.29167
16,2,95,2,"""The Gu"" red shirt XML tag t-shirt (Black) XL",2,6,90,41276,TRUE,6,41276.29167
17,2,98,1,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",1,6,96,41276,TRUE,6,41276.29167
18,2,99,14,"""The Gu"" red shirt XML tag t-shirt (Black) 5XL",14,6,96,41276,TRUE,6,41276.29167
19,2,100,14,"""The Gu"" red shirt XML tag t-shirt (Black) 6XL",14,6,96,41276,TRUE,6,41276.29167
20,2,102,6,Alien officer hoodie (Black) XL,6,7,17,41276,TRUE,6,41276.29167
21,2,104,10,Alien officer hoodie (Black) 3XL,10,7,17,41276,TRUE,6,41276.29167
22,2,109,16,Superhero action jacket (Blue) XS,16,7,19,41276,TRUE,6,41276.29167
23,2,110,12,Superhero action jacket (Blue) S,12,7,19,41276,TRUE,6,41276.29167
24,2,111,7,Superhero action jacket (Blue) M,7,7,22,41276,TRUE,6,41276.29167
25,2,113,6,Superhero action jacket (Blue) XL,6,7,22,41276,TRUE,6,41276.29167
26,2,115,11,Superhero action jacket (Blue) 3XL,11,7,24,41276,TRUE,6,41276.29167
27,2,121,22,Dinosaur battery-powered slippers (Green) XL,22,7,8.5,41276,TRUE,6,41276.29167
28,2,123,25,Ogre battery-powered slippers (Green) M,25,7,8,41276,TRUE,6,41276.29167
29,2,125,22,Ogre battery-powered slippers (Green) XL,22,7,8.5,41276,TRUE,6,41276.29167
30,2,126,24,Plush shark slippers (Gray) S,24,7,8,41276,TRUE,6,41276.29167
31,2,134,23,Animal with big feet slippers (Brown) S,23,7,8,41276,TRUE,6,41276.29167
32,2,138,23,Furry animal socks (Pink) S,23,9,18,41276,TRUE,6,41276.29167
33,2,141,16,Furry animal socks (Pink) XL,16,9,18,41276,TRUE,6,41276.29167
34,2,146,16,Halloween skull mask (Gray) S,16,6,180,41276,TRUE,6,41276.29167
35,2,147,17,Halloween skull mask (Gray) M,17,6,180,41276,TRUE,6,41276.29167
36,2,148,14,Halloween skull mask (Gray) L,14,6,180,41276,TRUE,6,41276.29167
37,2,149,12,Halloween skull mask (Gray) XL,12,6,180,41276,TRUE,6,41276.29167
38,3,16,28,DBA joke mug - mind if I join you? (White),28,7,4.5,41276,TRUE,6,41276.29167
39,3,18,46,DBA joke mug - daaaaaa-ta (White),46,7,4.5,41276,TRUE,6,41276.29167
40,3,19,36,DBA joke mug - daaaaaa-ta (Black),36,7,4.5,41276,TRUE,6,41276.29167
41,3,20,35,DBA joke mug - you might be a DBA if (White),35,7,4.5,41276,TRUE,6,41276.29167
42,3,21,36,DBA joke mug - you might be a DBA if (Black),36,7,4.5,41276,TRUE,6,41276.29167
43,3,22,38,DBA joke mug - it depends (White),38,7,4.5,41276,TRUE,6,41276.29167
44,3,23,30,DBA joke mug - it depends (Black),30,7,4.5,41276,TRUE,6,41276.29167
45,3,39,35,Developer joke mug - inheritance is the OO way to become wealthy (Black),35,7,4.5,41276,TRUE,6,41276.29167
46,3,40,43,"Developer joke mug - (hip, hip, array) (White)",43,7,4.5,41276,TRUE,6,41276.29167
47,3,41,41,"Developer joke mug - (hip, hip, array) (Black)",41,7,4.5,41276,TRUE,6,41276.29167
48,3,44,40,Developer joke mug - there are 10 types of people in the world (White),40,7,4.5,41276,TRUE,6,41276.29167
49,3,45,29,Developer joke mug - there are 10 types of people in the world (Black),29,7,4.5,41276,TRUE,6,41276.29167
50,3,50,42,Developer joke mug - old C developers never die (White),42,7,4.5,41276,TRUE,6,41276.29167
51,3,54,49,IT joke mug - that behavior is by design (White),49,7,4.5,41276,TRUE,6,41276.29167
52,3,55,43,IT joke mug - that behavior is by design (Black),43,7,4.5,41276,TRUE,6,41276.29167
53,3,57,38,IT joke mug - hardware: part of the computer that can be kicked (Black),38,7,4.5,41276,TRUE,6,41276.29167
54,4,156,11,10 mm Double sided bubble wrap 10m,11,7,75,41276,TRUE,6,41276.29167
55,4,158,4,10 mm Double sided bubble wrap 50m,4,7,560,41276,TRUE,6,41276.29167
56,4,162,16,32 mm Double sided bubble wrap 10m,16,7,99,41276,TRUE,6,41276.29167
57,4,163,8,32 mm Double sided bubble wrap 20m,8,7,140,41276,TRUE,6,41276.29167
58,4,164,6,32 mm Double sided bubble wrap 50m,6,7,590,41276,TRUE,6,41276.29167
59,4,165,12,10 mm Anti static bubble wrap (Blue) 10m,12,7,170,41276,TRUE,6,41276.29167
60,4,166,10,10 mm Anti static bubble wrap (Blue) 20m,10,7,230,41276,TRUE,6,41276.29167
61,4,167,18,10 mm Anti static bubble wrap (Blue) 50m,18,7,450,41276,TRUE,6,41276.29167
62,4,168,8,20 mm Anti static bubble wrap (Blue) 10m,8,7,120,41276,TRUE,6,41276.29167
63,4,170,16,20 mm Anti static bubble wrap (Blue) 50m,16,7,550,41276,TRUE,6,41276.29167
64,4,171,9,32 mm Anti static bubble wrap (Blue) 10m,9,7,160,41276,TRUE,6,41276.29167
65,4,172,17,32 mm Anti static bubble wrap (Blue) 20m,17,7,230,41276,TRUE,6,41276.29167
66,4,181,4,Shipping carton (Brown) 356x229x229mm,4,7,14,41276,TRUE,6,41276.29167
67,4,182,9,Shipping carton (Brown) 457x279x279mm,9,7,15,41276,TRUE,6,41276.29167
68,4,183,4,Shipping carton (Brown) 480x270x320mm,4,7,30,41276,TRUE,6,41276.29167
69,4,184,3,Shipping carton (Brown) 305x305x305mm,3,7,47.5,41276,TRUE,6,41276.29167
70,4,191,12,Black and orange fragile despatch tape 48mmx75m,12,7,64.8,41276,TRUE,6,41276.29167
71,4,194,7,Black and orange glass with care despatch tape  48mmx100m,7,7,48,41276,TRUE,6,41276.29167
72,4,195,4,Black and orange handle with care despatch tape  48mmx75m,4,7,31.2,41276,TRUE,6,41276.29167
73,4,197,8,Black and orange this way up despatch tape 48mmx75m,8,7,40.8,41276,TRUE,6,41276.29167
74,4,198,4,Black and orange this way up despatch tape  48mmx100m,4,7,46.8,41276,TRUE,6,41276.29167
75,4,200,4,Black and yellow heavy despatch tape 48mmx100m,4,7,57.6,41276,TRUE,6,41276.29167
76,4,202,4,Red and white urgent  heavy despatch tape  48mmx100m,4,7,49.2,41276,TRUE,6,41276.29167
77,4,206,15,Permanent marker black 5mm nib (Black) 5mm,15,7,20.4,41276,TRUE,6,41276.29167
78,4,209,13,Packing knife with metal insert blade (Yellow) 9mm,13,7,4.5,41276,TRUE,6,41276.29167
79,4,210,15,Packing knife with metal insert blade (Yellow) 18mm,15,7,6,41276,TRUE,6,41276.29167
80,4,213,13,Air cushion film 200mmx100mm 325m,13,7,35,41276,TRUE,6,41276.29167
81,4,219,8,Void fill 400 L bag (White) 400L,8,7,260,41276,TRUE,6,41276.29167
82,5,58,87,RC toy sedan car with remote control (Black) 1/50 scale,87,7,12.5,41276,TRUE,6,41276.29167
83,5,59,95,RC toy sedan car with remote control (Red) 1/50 scale,95,7,12.5,41276,TRUE,6,41276.29167
84,5,63,95,RC toy sedan car with remote control (Pink) 1/50 scale,95,7,12.5,41276,TRUE,6,41276.29167
85,5,64,106,RC vintage American toy coupe with remote control (Red) 1/50 scale,106,7,15,41276,TRUE,6,41276.29167
86,5,67,48,Ride on toy sedan car (Black) 1/12 scale,48,7,145,41276,TRUE,6,41276.29167
87,5,70,43,Ride on toy sedan car (Green) 1/12 scale,43,7,145,41276,TRUE,6,41276.29167
88,5,71,57,Ride on toy sedan car (Yellow) 1/12 scale,57,7,145,41276,TRUE,6,41276.29167
89,5,72,59,Ride on toy sedan car (Pink) 1/12 scale,59,7,145,41276,TRUE,6,41276.29167
90,6,2,83,USB rocket launcher (Gray),83,7,9.5,41276,TRUE,6,41276.29167
91,6,5,99,USB food flash drive - hamburger,99,7,12,41276,TRUE,6,41276.29167
92,6,6,98,USB food flash drive - hot dog,98,7,12,41276,TRUE,6,41276.29167
93,6,7,102,USB food flash drive - pizza slice,102,7,12,41276,TRUE,6,41276.29167
94,6,9,96,USB food flash drive - banana,96,7,12,41276,TRUE,6,41276.29167
95,7,77,6,"""The Gu"" red shirt XML tag t-shirt (White) XXS",6,6,84,41277,TRUE,5,41277.29167
96,7,79,4,"""The Gu"" red shirt XML tag t-shirt (White) S",4,6,84,41277,TRUE,5,41277.29167
97,7,82,3,"""The Gu"" red shirt XML tag t-shirt (White) XL",3,6,90,41277,TRUE,5,41277.29167
98,7,87,5,"""The Gu"" red shirt XML tag t-shirt (White) 6XL",5,6,96,41277,TRUE,5,41277.29167
99,7,90,6,"""The Gu"" red shirt XML tag t-shirt (Black) XXS",6,6,84,41277,TRUE,5,41277.29167
100,7,91,6,"""The Gu"" red shirt XML tag t-shirt (Black) XS",6,6,84,41277,TRUE,5,41277.29167
101,7,93,14,"""The Gu"" red shirt XML tag t-shirt (Black) M",14,6,84,41277,TRUE,5,41277.29167
102,7,95,1,"""The Gu"" red shirt XML tag t-shirt (Black) XL",1,6,90,41277,TRUE,5,41277.29167
