PurchaseOrderID,SupplierID,OrderDate,DeliveryMethodID,ContactPersonID,ExpectedDeliveryDate,SupplierReference,IsOrderFinalized,Comments,InternalComments,LastEditedBy,LastEditedWhen
1,2,41275,9,2,41289,B2084020,TRUE,,,6,41276.29167
2,4,41275,7,2,41289,293092,TRUE,,,6,41276.29167
3,5,41275,10,2,41289,08803922,TRUE,,,6,41276.29167
4,7,41275,2,2,41289,BC0280982,TRUE,,,6,41276.29167
5,10,41275,8,2,41289,ML0300202,TRUE,,,6,41276.29167
6,12,41275,7,2,41289,237408032,TRUE,,,6,41276.29167
7,4,41276,7,2,41296,293092,TRUE,,,5,41277.29167
8,5,41276,10,2,41296,08803922,TRUE,,,5,41277.29167
9,7,41276,2,2,41296,BC0280982,TRUE,,,5,41277.29167
10,10,41276,8,2,41296,ML0300202,TRUE,,,5,41277.29167
11,12,41276,7,2,41296,237408032,TRUE,,,5,41277.29167
12,4,41277,7,2,41297,293092,TRUE,,,3,41278.29167
13,5,41277,10,2,41297,08803922,TRUE,,,3,41278.29167
14,7,41277,2,2,41297,BC0280982,TRUE,,,3,41278.29167
15,10,41277,8,2,41297,ML0300202,TRUE,,,3,41278.29167
16,12,41277,7,2,41297,237408032,TRUE,,,3,41278.29167
17,4,41278,7,2,41292,293092,TRUE,,,14,41281.29167
18,5,41278,10,2,41292,08803922,TRUE,,,14,41281.29167
19,7,41278,2,2,41292,BC0280982,TRUE,,,14,41281.29167
20,10,41278,8,2,41292,ML0300202,TRUE,,,14,41281.29167
21,4,41279,7,2,41299,293092,TRUE,,,14,41281.29167
22,5,41279,10,2,41299,08803922,TRUE,,,14,41281.29167
23,7,41279,2,2,41299,BC0280982,TRUE,,,14,41281.29167
24,10,41279,8,2,41299,ML0300202,TRUE,,,14,41281.29167
25,12,41279,7,2,41299,237408032,TRUE,,,14,41281.29167
26,4,41281,7,2,41301,293092,TRUE,,,17,41282.29167
27,5,41281,10,2,41301,08803922,TRUE,,,17,41282.29167
28,7,41281,2,2,41301,BC0280982,TRUE,,,17,41282.29167
29,10,41281,8,2,41301,ML0300202,TRUE,,,17,41282.29167
30,12,41281,7,2,41301,237408032,TRUE,,,17,41282.29167
31,7,41282,2,2,41302,BC0280982,TRUE,,,2,41283.29167
32,4,41283,7,2,41303,293092,TRUE,,,7,41284.29167
33,5,41283,10,2,41303,08803922,TRUE,,,7,41284.29167
34,7,41283,2,2,41303,BC0280982,TRUE,,,7,41284.29167
35,10,41283,8,2,41303,ML0300202,TRUE,,,7,41284.29167
36,4,41284,7,2,41304,293092,TRUE,,,9,41285.29167
37,5,41284,10,2,41304,08803922,TRUE,,,9,41285.29167
38,7,41284,2,2,41304,BC0280982,TRUE,,,9,41285.29167
39,4,41285,7,2,41297,293092,TRUE,,,2,41288.29167
40,5,41285,10,2,41297,08803922,TRUE,,,2,41288.29167
41,4,41286,7,2,41306,293092,TRUE,,,2,41288.29167
42,7,41286,2,2,41306,BC0280982,TRUE,,,2,41288.29167
43,4,41288,7,2,41308,293092,TRUE,,,15,41289.29167
44,5,41288,10,2,41308,08803922,TRUE,,,15,41289.29167
45,7,41288,2,2,41308,BC0280982,TRUE,,,15,41289.29167
46,10,41288,8,2,41308,ML0300202,TRUE,,,15,41289.29167
47,4,41289,7,2,41303,293092,TRUE,,,6,41290.29167
48,5,41289,10,2,41303,08803922,TRUE,,,6,41290.29167
49,10,41289,8,2,41303,ML0300202,TRUE,,,6,41290.29167
50,4,41290,7,2,41297,293092,TRUE,,,7,41291.29167
51,4,41291,7,2,41298,293092,TRUE,,,12,41292.29167
52,4,41292,7,2,41304,293092,TRUE,,,4,41295.29167
53,5,41292,10,2,41304,08803922,TRUE,,,4,41295.29167
54,4,41293,7,2,41305,293092,TRUE,,,4,41295.29167
55,5,41293,10,2,41305,08803922,TRUE,,,4,41295.29167
56,4,41295,7,2,41302,293092,TRUE,,,4,41296.29167
57,4,41296,7,2,41303,293092,TRUE,,,18,41297.29167
58,4,41297,7,2,41304,293092,TRUE,,,10,41298.29167
59,4,41298,7,2,41305,293092,TRUE,,,9,41299.29167
60,4,41299,7,2,41306,293092,TRUE,,,6,41302.29167
61,4,41300,7,2,41314,293092,TRUE,,,6,41302.29167
62,10,41300,8,2,41314,ML0300202,TRUE,,,6,41302.29167
63,4,41302,7,2,41322,293092,TRUE,,,18,41303.29167
64,7,41302,2,2,41322,BC0280982,TRUE,,,18,41303.29167
65,4,41303,7,2,41323,293092,TRUE,,,10,41304.29167
66,7,41303,2,2,41323,BC0280982,TRUE,,,10,41304.29167
67,4,41304,7,2,41311,293092,TRUE,,,8,41305.29167
68,4,41305,7,2,41312,293092,TRUE,,,12,41306.29167
69,4,41306,7,2,41313,293092,TRUE,,,4,41309.29167
70,4,41307,7,2,41314,293092,TRUE,,,4,41309.29167
71,4,41309,7,2,41316,293092,TRUE,,,15,41310.29167
72,4,41310,7,2,41317,293092,TRUE,,,2,41311.29167
73,4,41311,7,2,41318,293092,TRUE,,,19,41312.29167
74,4,41312,7,2,41319,293092,TRUE,,,15,41313.29167
75,4,41313,7,2,41320,293092,TRUE,,,10,41316.29167
76,4,41314,7,2,41321,293092,TRUE,,,10,41316.29167
77,4,41316,7,2,41323,293092,TRUE,,,17,41317.29167
78,4,41317,7,2,41324,293092,TRUE,,,2,41318.29167
79,4,41318,7,2,41338,293092,TRUE,,,5,41319.29167
80,7,41318,2,2,41338,BC0280982,TRUE,,,5,41319.29167
81,4,41319,7,2,41339,293092,TRUE,,,12,41320.29167
82,7,41319,2,2,41339,BC0280982,TRUE,,,12,41320.29167
83,4,41320,7,2,41340,293092,TRUE,,,3,41323.29167
84,7,41320,2,2,41340,BC0280982,TRUE,,,3,41323.29167
85,4,41321,7,2,41328,293092,TRUE,,,3,41323.29167
86,4,41323,7,2,41343,293092,TRUE,,,7,41324.29167
87,7,41323,2,2,41343,BC0280982,TRUE,,,7,41324.29167
88,4,41324,7,2,41344,293092,TRUE,,,8,41325.29167
89,7,41324,2,2,41344,BC0280982,TRUE,,,8,41325.29167
90,4,41325,7,2,41345,293092,TRUE,,,6,41326.29167
91,7,41325,2,2,41345,BC0280982,TRUE,,,6,41326.29167
92,4,41326,7,2,41346,293092,TRUE,,,18,41327.29167
93,7,41326,2,2,41346,BC0280982,TRUE,,,18,41327.29167
94,4,41327,7,2,41347,293092,TRUE,,,3,41330.29167
95,7,41327,2,2,41347,BC0280982,TRUE,,,3,41330.29167
96,4,41328,7,2,41348,293092,TRUE,,,3,41330.29167
97,7,41328,2,2,41348,BC0280982,TRUE,,,3,41330.29167
98,4,41330,7,2,41350,293092,TRUE,,,10,41331.29167
99,7,41330,2,2,41350,BC0280982,TRUE,,,10,41331.29167
100,4,41331,7,2,41351,293092,TRUE,,,8,41332.29167
101,7,41331,2,2,41351,BC0280982,TRUE,,,8,41332.29167
102,4,41332,7,2,41352,293092,TRUE,,,17,41333.29167
103,7,41332,2,2,41352,BC0280982,TRUE,,,17,41333.29167
104,4,41333,7,2,41353,293092,TRUE,,,12,41334.29167
105,7,41333,2,2,41353,BC0280982,TRUE,,,12,41334.29167
106,4,41334,7,2,41354,293092,TRUE,,,4,41337.29167
107,7,41334,2,2,41354,BC0280982,TRUE,,,4,41337.29167
108,4,41335,7,2,41342,293092,TRUE,,,4,41337.29167
109,4,41337,7,2,41357,293092,TRUE,,,19,41338.29167
110,7,41337,2,2,41357,BC0280982,TRUE,,,19,41338.29167
111,4,41338,7,2,41358,293092,TRUE,,,13,41339.29167
112,7,41338,2,2,41358,BC0280982,TRUE,,,13,41339.29167
113,4,41339,7,2,41359,293092,TRUE,,,18,41340.29167
114,7,41339,2,2,41359,BC0280982,TRUE,,,18,41340.29167
115,4,41340,7,2,41360,293092,TRUE,,,8,41341.29167
116,7,41340,2,2,41360,BC0280982,TRUE,,,8,41341.29167
117,4,41341,7,2,41361,293092,TRUE,,,8,41344.29167
118,7,41341,2,2,41361,BC0280982,TRUE,,,8,41344.29167
119,4,41342,7,2,41349,293092,TRUE,,,8,41344.29167
120,4,41344,7,2,41364,293092,TRUE,,,6,41345.29167
121,7,41344,2,2,41364,BC0280982,TRUE,,,6,41345.29167
122,4,41345,7,2,41365,293092,TRUE,,,11,41346.29167
123,7,41345,2,2,41365,BC0280982,TRUE,,,11,41346.29167
124,4,41346,7,2,41366,293092,TRUE,,,11,41347.29167
125,7,41346,2,2,41366,BC0280982,TRUE,,,11,41347.29167
126,4,41347,7,2,41367,293092,TRUE,,,13,41348.29167
127,7,41347,2,2,41367,BC0280982,TRUE,,,13,41348.29167
128,4,41348,7,2,41368,293092,TRUE,,,11,41351.29167
129,7,41348,2,2,41368,BC0280982,TRUE,,,11,41351.29167
130,4,41349,7,2,41356,293092,TRUE,,,11,41351.29167
131,4,41351,7,2,41371,293092,TRUE,,,3,41352.29167
132,7,41351,2,2,41371,BC0280982,TRUE,,,3,41352.29167
133,4,41352,7,2,41372,293092,TRUE,,,13,41353.29167
134,7,41352,2,2,41372,BC0280982,TRUE,,,13,41353.29167
135,4,41353,7,2,41373,293092,TRUE,,,11,41354.29167
