SupplierTransactionID,SupplierID,TransactionTypeID,PurchaseOrderID,PaymentMethodID,SupplierInvoiceNumber,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized,LastEditedBy,LastEditedWhen
134,2,5,1,4,7290,41276,313.5,47.03,360.53,0,41281,TRUE,4,41281.375
169,4,5,2,4,3898,41276,21732,3259.8,24991.8,0,41281,TRUE,4,41281.375
186,5,5,3,4,616,41276,2740.5,411.11,3151.61,0,41281,TRUE,4,41281.375
215,7,5,4,4,3869,41276,42481.2,6372.19,48853.39,0,41281,TRUE,4,41281.375
224,10,5,5,4,4697,41276,35067.5,5260.14,40327.64,0,41281,TRUE,4,41281.375
230,12,5,6,4,1375,41276,5528.5,829.28,6357.78,0,41281,TRUE,4,41281.375
565,4,5,7,4,3261,41277,10000.5,1500.08,11500.58,0,41281,TRUE,4,41281.375
570,5,5,8,4,1762,41277,657,98.56,755.56,0,41281,TRUE,4,41281.375
588,7,5,9,4,9301,41277,9281.5,1392.24,10673.74,0,41281,TRUE,4,41281.375
590,10,5,10,4,1853,41277,1037.5,155.63,1193.13,0,41281,TRUE,4,41281.375
594,12,5,11,4,8170,41277,19869.5,2980.43,22849.93,0,41281,TRUE,4,41281.375
932,4,5,12,4,5075,41278,6661.5,999.23,7660.73,0,41281,TRUE,4,41281.375
935,5,5,13,4,134,41278,261,39.15,300.15,0,41281,TRUE,4,41281.375
952,7,5,14,4,999,41278,16279.45,2441.92,18721.37,0,41281,TRUE,4,41281.375
955,10,5,15,4,4943,41278,13325,1998.75,15323.75,0,41281,TRUE,4,41281.375
959,12,5,16,4,9907,41278,3768,565.2,4333.2,0,41281,TRUE,4,41281.375
1390,4,5,17,4,4291,41281,8808,1321.2,10129.2,0,41281,TRUE,4,41281.375
1393,5,5,18,4,205,41281,288,43.21,331.21,0,41281,TRUE,4,41281.375
1400,7,5,19,4,7476,41281,5230.2,784.53,6014.73,0,41281,TRUE,4,41281.375
1402,10,5,20,4,364,41281,7250,1087.5,8337.5,0,41281,TRUE,4,41281.375
1408,4,5,21,4,252,41281,5116,767.4,5883.4,0,41281,TRUE,4,41281.375
1410,5,5,22,4,9981,41281,157.5,23.63,181.13,0,41281,TRUE,4,41281.375
1417,7,5,23,4,9410,41281,3639.55,545.93,4185.48,0,41281,TRUE,4,41281.375
1419,10,5,24,4,951,41281,1245,186.75,1431.75,0,41281,TRUE,4,41281.375
1422,12,5,25,4,4585,41281,19278,2891.7,22169.7,0,41281,TRUE,4,41281.375
1423,2,7,,4,,41281,0,0,-360.53,0,41281,TRUE,4,41281.375
1424,4,7,,4,,41281,0,0,-60165.71,0,41281,TRUE,4,41281.375
1425,5,7,,4,,41281,0,0,-4719.66,0,41281,TRUE,4,41281.375
1426,7,7,,4,,41281,0,0,-88448.71,0,41281,TRUE,4,41281.375
1427,10,7,,4,,41281,0,0,-66613.77,0,41281,TRUE,4,41281.375
1428,12,7,,4,,41281,0,0,-55710.61,0,41281,TRUE,4,41281.375
1873,4,5,26,4,2648,41282,1436,215.4,1651.4,0,41288,TRUE,5,41288.375
1880,5,5,27,4,7934,41282,832.5,124.89,957.39,0,41288,TRUE,5,41288.375
1882,7,5,28,4,359,41282,2380,357,2737,0,41288,TRUE,5,41288.375
1884,10,5,29,4,7757,41282,1037.5,155.63,1193.13,0,41288,TRUE,5,41288.375
1887,12,5,30,4,6742,41282,2376,356.4,2732.4,0,41288,TRUE,5,41288.375
